"","SampleID","FishYear","Year","Month","Day","birth_month","Method","Region","region_year","Site","site_year","Cohort","cohort_year","region_cohort","site_cohort","TL","FL","SL","Weight","Sex","Stage","MaturityStage","LOtoWt","ROtoWt","Width","Age","sAge","AAC","sAAC","Edge","EdgeRatio","EdgeType","region_stage_year","region_stage_cohort"
"47","AA621",2021,"2022","2","20","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2017","2017_2021","Riau Archipelago_2017","Riau Archipelago_2017",711,NA,504,2980,"",NA,"Immature",1.085,1.107,0.209,4,-0.241660257151961,4,-0.805948649172035,0.101,0.483253588516746,"Intermediate","Riau Archipelago_Immature_2021","Riau Archipelago_Immature_2017"
"48","AA623",2020,"2022","2","19","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",602,NA,499,2920,"",NA,"Immature",1.017,0.98,0.363,2,-0.934807437711907,3,-1.09363072162382,0.059,0.333333333333333,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"49","AA623",2021,"2022","2","19","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2018","2018_2021","Riau Archipelago_2018","Riau Archipelago_2018",602,NA,499,2920,"",NA,"Immature",1.017,0.98,0.177,3,-0.529342329603742,3,-1.09363072162382,0.059,0.333333333333333,"Intermediate","Riau Archipelago_Immature_2021","Riau Archipelago_Immature_2018"
"50","AA625",2017,"2022","2","18","10",NA,"Riau Archipelago","Riau Archipelago_2017","Riau Archipelago","Riau Archipelago_2017","2015","2015_2017","Riau Archipelago_2015","Riau Archipelago_2015",603,NA,504,3220,"",NA,"Immature",1.252,1.277,0.324,2,-0.934807437711907,6,-0.400483541063871,0.059,0.602040816326531,"Intermediate","Riau Archipelago_Immature_2017","Riau Archipelago_Immature_2015"
"51","AA625",2018,"2022","2","18","10",NA,"Riau Archipelago","Riau Archipelago_2018","Riau Archipelago","Riau Archipelago_2018","2015","2015_2018","Riau Archipelago_2015","Riau Archipelago_2015",603,NA,504,3220,"",NA,"Immature",1.252,1.277,0.256,3,-0.529342329603742,6,-0.400483541063871,0.059,0.602040816326531,"Intermediate","Riau Archipelago_Immature_2018","Riau Archipelago_Immature_2015"
"52","AA625",2019,"2022","2","18","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2015","2015_2019","Riau Archipelago_2015","Riau Archipelago_2015",603,NA,504,3220,"",NA,"Immature",1.252,1.277,0.187,4,-0.241660257151961,6,-0.400483541063871,0.059,0.602040816326531,"Intermediate","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2015"
"53","AA625",2020,"2022","2","18","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2015","2015_2020","Riau Archipelago_2015","Riau Archipelago_2015",603,NA,504,3220,"",NA,"Mature",1.252,1.277,0.138,5,-0.0185167058377516,6,-0.400483541063871,0.059,0.602040816326531,"Intermediate","Riau Archipelago_Mature_2020","Riau Archipelago_Mature_2015"
"54","AA625",2021,"2022","2","18","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2015","2015_2021","Riau Archipelago_2015","Riau Archipelago_2015",603,NA,504,3220,"",NA,"Mature",1.252,1.277,0.098,6,0.163804850956203,6,-0.400483541063871,0.059,0.602040816326531,"Intermediate","Riau Archipelago_Mature_2021","Riau Archipelago_Mature_2015"
"55","AA626",2020,"2022","2","17","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",604,NA,507,2920,"",NA,"Immature",1.092,1.084,0.288,2,-0.934807437711907,3,-1.09363072162382,0.079,0.52317880794702,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
"56","AA626",2021,"2022","2","17","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2018","2018_2021","Riau Archipelago_2018","Riau Archipelago_2018",604,NA,507,2920,"",NA,"Immature",1.092,1.084,0.151,3,-0.529342329603742,3,-1.09363072162382,0.079,0.52317880794702,"Intermediate","Riau Archipelago_Immature_2021","Riau Archipelago_Immature_2018"
"57","AA628",2019,"2022","2","15","10",NA,"Riau Archipelago","Riau Archipelago_2019","Riau Archipelago","Riau Archipelago_2019","2017","2017_2019","Riau Archipelago_2017","Riau Archipelago_2017",608,NA,564,4180,"",NA,"Immature",1.223,1.29,0.513,2,-0.934807437711907,4,-0.805948649172035,0.123,0.740963855421687,"Wide","Riau Archipelago_Immature_2019","Riau Archipelago_Immature_2017"
"58","AA628",2020,"2022","2","15","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2017","2017_2020","Riau Archipelago_2017","Riau Archipelago_2017",608,NA,564,4180,"",NA,"Immature",1.223,1.29,0.282,3,-0.529342329603742,4,-0.805948649172035,0.123,0.740963855421687,"Wide","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2017"
"59","AA628",2021,"2022","2","15","10",NA,"Riau Archipelago","Riau Archipelago_2021","Riau Archipelago","Riau Archipelago_2021","2017","2017_2021","Riau Archipelago_2017","Riau Archipelago_2017",608,NA,564,4180,"",NA,"Immature",1.223,1.29,0.166,4,-0.241660257151961,4,-0.805948649172035,0.123,0.740963855421687,"Wide","Riau Archipelago_Immature_2021","Riau Archipelago_Immature_2017"
"60","AA629",2020,"2022","2","19","10",NA,"Riau Archipelago","Riau Archipelago_2020","Riau Archipelago","Riau Archipelago_2020","2018","2018_2020","Riau Archipelago_2018","Riau Archipelago_2018",622,NA,524,3820,"",NA,"Immature",1.022,0.99,0.522,2,-0.934807437711907,3,-1.09363072162382,0.108,0.406015037593985,"Intermediate","Riau Archipelago_Immature_2020","Riau Archipelago_Immature_2018"
